date_time,pv_energy,income_value,full_power_hours,filled
2023-05-03,557.60,362.44,4.46,False
2023-05-04,649.30,422.05,5.19,False
2023-05-05,577.20,375.18,4.62,False
2023-05-06,639.10,415.42,5.11,False
2023-05-07,627.70,408.00,5.02,False
2023-05-08,612.80,398.32,4.90,False
2023-05-09,495.40,322.01,3.96,False
2023-05-10,590.50,383.82,4.72,False
2023-05-11,583.50,379.27,4.67,False
2023-05-12,575.00,373.75,4.60,False
2023-05-13,605.50,393.57,4.84,False
2023-05-14,601.90,391.24,4.82,False
2023-05-15,527.00,342.55,4.22,False
2023-05-16,557.40,362.31,4.46,False
2023-05-17,568.80,369.72,4.55,False
2023-05-18,619.90,402.94,4.96,False
2023-05-19,623.50,405.27,4.99,False
2023-05-20,625.40,406.51,5.00,False
2023-05-21,637.10,414.12,5.10,False
2023-05-22,611.80,397.67,4.89,False
2023-05-23,524.80,341.12,4.20,False
2023-05-24,604.00,392.60,4.83,False
2023-05-25,572.60,372.19,4.58,False
2023-05-26,616.20,400.53,4.93,False
2023-05-27,489.30,318.05,3.91,False
2023-05-28,489.40,318.11,3.92,False
2023-05-29,442.30,287.50,3.54,False
2023-05-30,577.60,375.44,4.62,False
2023-05-31,413.20,268.58,3.31,False
2023-06-01,422.10,274.37,3.38,False
2023-06-02,530.90,345.08,4.25,False
2023-06-03,607.10,394.62,4.86,False
2023-06-04,590.80,384.02,4.73,False
2023-06-05,552.60,359.19,4.42,False
2023-06-06,550.60,357.89,4.41,False
2023-06-07,575.20,373.88,4.60,False
2023-06-08,541.10,351.71,4.33,False
2023-06-09,482.60,313.69,3.86,False
2023-06-10,469.20,304.98,3.75,False
2023-06-11,533.40,346.71,4.27,False
2023-06-12,404.40,262.86,3.23,False
2023-06-13,514.90,334.69,4.12,False
2023-06-14,554.00,360.10,4.43,False
2023-06-15,438.00,284.70,3.50,False
2023-06-16,405.40,263.51,3.24,False
2023-06-17,221.70,144.10,1.77,False
2023-06-18,556.00,361.40,4.45,False
2023-06-19,583.10,379.01,4.67,False
2023-06-20,553.50,359.77,4.43,False
2023-06-21,600.10,390.06,4.80,False
2023-06-22,602.40,391.56,4.82,False
2023-06-23,598.00,388.70,4.78,False
2023-06-24,538.40,349.96,4.31,False
2023-06-25,377.70,245.50,3.02,False
2023-06-26,595.20,386.88,4.76,False
2023-06-27,592.30,385.00,4.74,False
2023-06-28,606.60,394.29,4.85,False
2023-06-29,617.80,401.57,4.94,False
2023-06-30,486.60,316.29,3.89,False
2023-07-01,551.00,358.15,4.41,False
2023-07-02,596.10,387.46,4.77,False
2023-07-03,600.70,390.45,4.81,False
2023-07-04,600.60,390.39,4.80,False
2023-07-05,606.90,394.49,4.86,False
2023-07-06,600.10,390.06,4.80,False
2023-07-07,587.60,381.94,4.70,False
2023-07-08,545.90,354.83,4.37,False
2023-07-09,432.20,280.93,3.46,False
2023-07-10,565.00,367.25,4.52,False
2023-07-11,499.00,324.35,3.99,False
2023-07-12,518.40,336.96,4.15,False
2023-07-13,504.90,328.19,4.04,False
2023-07-14,531.00,345.15,4.25,False
2023-07-15,517.30,336.25,4.14,False
2023-07-16,483.40,314.21,3.87,False
2023-07-17,405.60,263.64,3.25,False
2023-07-18,524.40,340.86,4.20,False
2023-07-19,518.30,336.89,4.15,False
2023-07-20,569.30,370.05,4.55,False
2023-07-21,383.70,249.41,3.07,False
2023-07-22,481.40,312.91,3.85,False
2023-07-23,536.00,348.40,4.29,False
2023-07-24,464.20,301.73,3.71,False
2023-07-25,458.80,298.22,3.67,False
2023-07-26,608.70,395.65,4.87,False
2023-07-27,583.70,379.40,4.67,False
2023-07-28,532.70,346.25,4.26,False
2023-07-29,458.20,297.83,3.67,False
2023-07-30,562.10,365.37,4.50,False
2023-07-31,576.10,374.46,4.61,False
2023-08-01,609.30,396.05,4.87,False
2023-08-02,613.70,398.90,4.91,False
2023-08-03,600.90,390.58,4.81,False
2023-08-04,582.00,378.30,4.66,False
2023-08-05,606.90,394.49,4.86,False
2023-08-06,623.60,405.34,4.99,False
