date_time,pv_energy,income_value,full_power_hours,filled
2023-01-25,87.60,56.94,0.60,False
2023-01-26,50.30,32.70,0.34,False
2023-01-27,63.20,41.08,0.43,False
2023-01-28,78.00,50.70,0.53,False
2023-01-29,59.20,38.48,0.41,False
2023-01-30,82.30,53.49,0.56,False
2023-01-31,86.70,56.35,0.59,False
2023-02-01,102.00,66.30,0.70,False
2023-02-02,92.00,59.80,0.63,False
2023-02-03,65.80,42.77,0.45,False
2023-02-04,58.60,38.09,0.40,False
2023-02-05,70.20,45.63,0.48,False
2023-02-06,38.40,24.96,0.26,False
2023-02-07,103.00,66.95,0.70,False
2023-02-08,102.00,66.30,0.70,False
2023-02-09,65.40,42.51,0.45,False
2023-02-10,105.70,68.70,0.72,False
2023-02-11,91.30,59.34,0.62,False
2023-02-12,94.90,61.69,0.65,False
2023-02-13,106.80,69.42,0.73,False
2023-02-14,104.40,67.86,0.71,False
2023-02-15,82.70,53.76,0.57,False
2023-02-16,79.50,51.67,0.55,False
2023-02-17,55.60,36.14,0.38,False
2023-02-18,47.50,30.88,0.33,False
2023-02-19,84.30,54.80,0.58,False
2023-02-20,84.00,54.60,0.57,False
2023-02-21,75.60,49.14,0.52,False
2023-02-22,72.80,47.32,0.50,False
2023-02-23,47.80,31.07,0.33,False
2023-02-24,66.90,43.48,0.46,False
2023-02-25,104.60,67.99,0.72,False
2023-02-26,102.80,66.82,0.70,False
2023-02-27,108.90,70.78,0.75,False
2023-02-28,100.20,65.13,0.69,False
2023-03-01,46.80,30.42,0.32,False
2023-03-02,79.60,51.74,0.55,False
2023-03-03,85.10,55.31,0.58,False
2023-03-04,104.70,68.06,0.72,False
2023-03-05,98.50,64.03,0.68,False
2023-03-06,66.60,43.29,0.46,False
2023-03-07,42.10,27.36,0.29,False
2023-03-08,83.50,54.27,0.57,False
2023-03-09,57.20,37.18,0.39,False
2023-03-10,40.10,26.07,0.28,False
2023-03-11,57.50,37.38,0.39,False
2023-03-12,83.00,53.95,0.57,False
2023-03-13,55.20,35.88,0.38,False
2023-03-14,40.60,26.39,0.28,False
2023-03-15,61.90,40.23,0.42,False
2023-03-16,54.70,35.55,0.38,False
2023-03-17,30.80,20.02,0.21,False
2023-03-18,68.10,44.27,0.47,False
2023-03-19,66.50,43.23,0.46,False
2023-03-20,43.00,27.95,0.29,False
2023-03-21,48.10,31.27,0.33,False
2023-03-22,69.40,45.11,0.47,False
2023-03-23,67.50,43.88,0.46,False
2023-03-24,97.70,63.51,0.67,False
2023-03-25,96.00,62.40,0.66,False
2023-03-26,93.30,60.65,0.64,False
2023-03-27,91.30,59.34,0.62,False
2023-03-28,65.30,42.45,0.45,False
2023-03-29,94.90,61.69,0.65,False
2023-03-30,93.20,60.58,0.64,False
2023-03-31,79.50,51.67,0.55,False
2023-04-01,85.10,55.31,0.58,False
2023-04-02,47.00,30.55,0.32,False
2023-04-03,59.00,38.35,0.40,False
2023-04-04,82.00,53.30,0.56,False
2023-04-05,68.00,44.20,0.47,False
2023-04-06,82.10,53.37,0.56,False
2023-04-07,45.70,29.70,0.31,False
2023-04-08,54.80,35.62,0.38,False
2023-04-09,67.00,43.55,0.46,False
2023-04-10,63.30,41.15,0.43,False
2023-04-11,72.60,47.19,0.50,False
2023-04-12,72.70,47.26,0.50,False
2023-04-13,81.10,52.72,0.56,False
2023-04-14,53.40,34.71,0.37,False
2023-04-15,66.80,43.42,0.46,False
2023-04-16,71.80,46.67,0.49,False
2023-04-17,59.60,38.74,0.41,False
2023-04-18,71.40,46.41,0.49,False
2023-04-19,66.40,43.16,0.46,False
2023-04-20,42.60,27.69,0.29,False
2023-04-21,77.10,50.12,0.53,False
2023-04-22,39.00,25.35,0.27,False
2023-04-23,66.10,42.97,0.45,False
2023-04-24,60.70,39.45,0.42,False
2023-04-25,82.70,53.76,0.57,False
2023-04-26,78.40,50.96,0.54,False
2023-04-27,69.00,44.85,0.47,False
2023-04-28,64.40,41.86,0.44,False
2023-04-29,53.80,34.97,0.37,False
2023-04-30,66.00,42.90,0.45,False
2023-05-01,86.10,55.97,0.59,False
2023-05-02,74.30,48.30,0.51,False
2023-05-03,71.70,46.60,0.49,False
2023-05-04,83.30,54.15,0.57,False
2023-05-05,73.30,47.65,0.50,False
2023-05-06,80.90,52.59,0.55,False
2023-05-07,79.50,51.67,0.55,False
2023-05-08,77.50,50.38,0.53,False
2023-05-09,64.10,41.66,0.44,False
2023-05-10,73.20,47.58,0.50,False
2023-05-11,72.70,47.26,0.50,False
2023-05-12,71.70,46.60,0.49,False
2023-05-13,74.10,48.16,0.51,False
2023-05-14,74.30,48.30,0.51,False
2023-05-15,65.10,42.31,0.45,False
2023-05-16,68.40,44.46,0.47,False
2023-05-17,69.30,45.05,0.47,False
2023-05-18,75.60,49.14,0.52,False
2023-05-19,75.60,49.14,0.52,False
2023-05-20,75.90,49.34,0.52,False
2023-05-21,77.40,50.31,0.53,False
2023-05-22,74.60,48.49,0.51,False
2023-05-23,66.70,43.35,0.46,False
2023-05-24,73.00,47.45,0.50,False
2023-05-25,68.80,44.72,0.47,False
2023-05-26,74.20,48.23,0.51,False
2023-05-27,59.60,38.74,0.41,False
2023-05-28,59.60,38.74,0.41,False
2023-05-29,53.50,34.77,0.37,False
2023-05-30,69.10,44.91,0.47,False
2023-05-31,50.70,32.95,0.35,False
2023-06-01,51.30,33.34,0.35,False
2023-06-02,63.80,41.47,0.44,False
2023-06-03,72.20,46.93,0.49,False
2023-06-04,68.80,44.72,0.47,False
2023-06-05,64.40,41.86,0.44,False
2023-06-06,65.70,42.70,0.45,False
2023-06-07,69.20,44.98,0.47,False
2023-06-08,65.00,42.25,0.45,False
2023-06-09,58.20,37.83,0.40,False
2023-06-10,56.70,36.85,0.39,False
2023-06-11,61.80,40.17,0.42,False
2023-06-12,48.90,31.79,0.34,False
2023-06-13,62.90,40.88,0.43,False
2023-06-14,65.90,42.84,0.45,False
2023-06-15,52.20,33.93,0.36,False
2023-06-16,48.50,31.52,0.33,False
2023-06-17,27.60,17.94,0.19,False
2023-06-18,63.70,41.41,0.44,False
2023-06-19,66.60,43.29,0.46,False
2023-06-20,61.40,39.91,0.42,False
2023-06-21,66.80,43.42,0.46,False
2023-06-22,67.20,43.68,0.46,False
2023-06-23,66.90,43.48,0.46,False
2023-06-24,61.30,39.84,0.42,False
2023-06-25,46.70,30.36,0.32,False
2023-06-26,66.60,43.29,0.46,False
2023-06-27,67.10,43.62,0.46,False
2023-06-28,67.50,43.88,0.46,False
2023-06-29,68.80,44.72,0.47,False
2023-06-30,55.10,35.81,0.38,False
2023-07-01,61.10,39.72,0.42,False
2023-07-02,66.50,43.23,0.46,False
2023-07-03,67.20,43.68,0.46,False
2023-07-04,67.20,43.68,0.46,False
2023-07-05,68.10,44.27,0.47,False
2023-07-06,67.50,43.88,0.46,False
2023-07-07,65.90,42.84,0.45,False
2023-07-08,61.40,39.91,0.42,False
2023-07-09,48.20,31.33,0.33,False
2023-07-10,64.10,41.66,0.44,False
2023-07-11,58.10,37.77,0.40,False
2023-07-12,60.80,39.52,0.42,False
2023-07-13,81.40,52.91,0.56,False
2023-07-14,61.40,39.91,0.42,False
2023-07-15,59.00,38.35,0.40,False
2023-07-16,54.90,35.69,0.38,False
2023-07-17,48.60,31.59,0.33,False
2023-07-18,60.20,39.13,0.41,False
2023-07-19,60.70,39.45,0.42,False
2023-07-20,65.60,42.64,0.45,False
2023-07-21,46.40,30.16,0.32,False
2023-07-22,56.80,36.92,0.39,False
2023-07-23,61.70,40.10,0.42,False
2023-07-24,54.70,35.55,0.38,False
2023-07-25,56.30,36.59,0.39,False
2023-07-26,69.90,45.44,0.48,False
2023-07-27,67.90,44.13,0.47,False
2023-07-28,62.80,40.82,0.43,False
2023-07-29,54.80,35.62,0.38,False
2023-07-30,66.70,43.35,0.46,False
2023-07-31,66.60,43.29,0.46,False
2023-08-01,70.70,45.95,0.48,False
2023-08-02,71.40,46.41,0.49,False
2023-08-03,69.90,45.44,0.48,False
2023-08-04,68.30,44.40,0.47,False
2023-08-05,71.00,46.15,0.49,False
2023-08-06,73.50,47.77,0.50,False
2023-08-07,72.10,46.87,0.49,False
2023-08-08,72.90,47.38,0.50,False
2023-08-09,73.60,47.84,0.50,False
2023-08-10,72.60,47.19,0.50,False
2023-08-11,64.30,41.80,0.44,False
2023-08-12,65.00,42.25,0.45,False
2023-08-13,69.50,45.17,0.48,False
2023-08-14,68.30,44.40,0.47,False
2023-08-15,62.70,40.76,0.43,False
2023-08-16,62.70,40.76,0.43,False
2023-08-17,75.70,49.20,0.52,False
2023-08-18,69.90,45.44,0.48,False
2023-08-19,57.10,37.12,0.39,False
2023-08-20,66.90,43.48,0.46,False
2023-08-21,67.60,43.94,0.46,False
2023-08-22,73.90,48.03,0.51,False
2023-08-23,64.60,41.99,0.44,False
2023-08-24,52.90,34.38,0.36,False
2023-08-25,65.50,42.58,0.45,False
2023-08-26,60.80,39.52,0.42,False
2023-08-27,61.20,39.78,0.42,False
2023-08-28,38.80,25.22,0.27,False
2023-08-29,67.90,44.13,0.47,False
2023-08-30,54.80,35.62,0.38,False
2023-08-31,85.00,55.25,0.58,False
2023-09-01,80.60,52.39,0.55,False
2023-09-02,78.60,51.09,0.54,False
2023-09-03,81.50,52.98,0.56,False
2023-09-04,63.10,41.02,0.43,False
2023-09-05,55.30,35.95,0.38,False
2023-09-06,85.10,55.31,0.58,False
2023-09-07,96.90,62.98,0.66,False
2023-09-08,88.60,57.59,0.61,False
2023-09-09,86.80,56.42,0.59,False
2023-09-10,95.00,61.75,0.65,False
2023-09-11,97.30,63.24,0.67,False
2023-09-12,85.50,55.58,0.59,False
2023-09-13,80.40,52.26,0.55,False
2023-09-14,80.30,52.20,0.55,False
2023-09-15,59.00,38.35,0.40,False
2023-09-16,58.10,37.77,0.40,False
2023-09-17,79.50,51.67,0.55,False
