date_time,pv_energy,pv_energy_est,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2023-01-12,424.3817,447.2619,4.9985,5.3252,7.4875,8.3537,4.6787,0.6974,0.2454,0.2539,1.5,0.757,61.817,32.1606,14.6028,161.2954,59.2219,4.6187,3.1406,0.0,10.55,5.0062,30.9348,22.9452,0.0,74.6114,24.3015,16.8849,17.4613,0.0,60.5845,8.6982,23.5135,1.6923,18.0,26.0,23.0,36.1786,8.4604,18.4375,51.375,37.5156,1.2514,0.7606,0.2,2.7,1.0,38.2655,24.6661,0.0,81.2,36.6,12.3333,4,0.6676,3
2023-01-13,370.02,390.6007,4.4973,4.7842,7.4764,8.3209,4.1679,0.5871,0.3422,0.0428,1.15,0.727,50.6452,44.6462,5.7049,198.4556,35.4694,3.7905,4.0592,0.0,11.225,2.325,41.395,34.0727,0.0,95.7182,27.3009,30.3157,33.6419,0.0,91.8895,9.2988,21.8243,1.5724,18.0,24.0,22.0,33.2196,11.4026,18.4062,53.0625,30.8125,1.6405,0.6544,0.4,2.4,1.8,47.5777,33.1692,0.0,96.0,39.0,12.3333,3,0.6015,1
2023-01-14,376.7208,423.5505,4.8512,5.1073,7.5315,8.3862,4.4974,0.6523,0.2647,0.1578,1.4375,0.6631,74.2635,50.4876,11.9545,259.835,63.8328,4.5541,3.8048,0.0,11.7875,3.5625,35.6761,24.5821,0.0,84.2211,33.6935,20.9665,21.0021,0.0,71.5879,14.064,23.651,2.2807,18.0,26.0,24.0,35.8603,10.226,18.7188,54.4688,33.9062,0.6564,0.2752,0.1,1.0,0.7,43.3497,25.1527,1.0,87.9,44.5,12.4167,2,0.6441,1
2023-01-15,374.4817,526.7926,5.9214,6.3165,7.5726,8.4222,5.3999,0.7292,0.2849,0.0636,1.2963,0.8234,54.9738,37.9333,2.3143,176.398,46.5275,5.9676,4.3744,0.0,11.8625,6.275,27.5593,27.841,0.0,93.6364,17.6606,16.5471,27.2917,0.0,88.9545,4.0796,24.483,1.9315,18.0,27.0,25.0,39.5886,11.4316,18.375,54.6562,40.6875,2.0327,0.5102,1.0,2.8,2.2,33.7082,28.505,1.0,95.1,22.0,12.25,1,0.782,1
2023-01-16,510.59,613.6374,6.9188,7.479,7.6884,8.5537,6.2599,0.9333,0.1269,0.7692,1.5,0.9159,49.3879,20.9051,9.7732,96.5914,49.0333,7.1732,4.332,0.0,12.8375,8.275,8.9099,6.1161,0.0,23.0769,8.4112,1.6061,1.911,0.0,10.136,0.9222,25.5033,2.7175,19.0,28.0,26.0,42.6858,11.2795,19.4375,57.0938,45.6875,3.0629,0.7132,1.4,3.7,3.4,17.3821,13.6469,0.0,62.3,14.0,12.5833,0,0.8999,3
2023-01-17,647.6325,663.0467,7.5257,8.2487,7.7238,8.5889,6.7573,0.9941,0.1088,0.8058,1.5,0.9917,51.3896,20.8874,10.1634,101.6939,53.3985,7.6988,4.5916,0.0,13.8125,8.9125,2.8347,4.5658,0.0,19.4203,0.8323,0.5446,1.3401,0.0,7.8,0.0088,25.1933,2.4044,18.0,28.0,26.0,44.0075,11.9197,18.5312,59.5312,47.2812,2.6627,0.4377,1.7,3.3,2.6,8.44,14.4951,0.0,70.2,1.35,12.5,0,0.9743,0
2023-01-18,583.8083,601.1452,6.7725,7.3667,7.6865,8.5322,6.1385,0.8663,0.1958,0.2034,1.5,0.9071,56.8358,27.2253,11.7818,144.0499,57.8269,6.8283,4.3928,0.0,12.625,7.2562,14.0854,18.1624,0.0,79.661,9.2927,6.2031,14.0392,0.0,71.2966,0.9293,24.8133,2.1994,18.0,27.0,25.0,41.7446,11.5356,18.375,56.5625,43.1406,1.8373,0.9767,0.2,3.5,1.9,17.2827,21.9016,0.0,89.5,10.5,12.5,1,0.8811,3
2023-01-19,357.9733,430.6684,4.8797,5.2555,7.6268,8.4454,4.5542,0.7352,0.2943,0.0837,1.4242,0.7789,75.0428,36.0459,16.5776,157.9159,70.1562,4.5124,3.4106,0.0,10.6,4.2188,27.4124,28.1206,0.0,91.6342,22.1136,16.6175,23.3625,0.0,84.3035,5.9932,23.7,1.8922,19.0,26.0,24.0,35.8992,9.089,19.5,51.5,35.5469,0.9813,0.514,0.2,2.2,0.9,33.4967,28.6083,0.0,92.0,29.4,12.5,2,0.6398,1
2023-01-20,405.2717,367.7729,4.2292,4.5567,7.5638,8.3608,3.9754,0.67,0.3522,0.0529,1.5,0.7207,54.1291,34.0307,8.634,187.2402,48.6484,3.5965,3.2984,0.0,9.4375,2.1562,34.6659,32.6035,0.0,94.7126,27.9301,23.7453,28.9465,0.0,89.977,9.6349,23.02,1.5303,18.0,25.0,23.0,33.5931,8.7478,18.4688,48.5938,30.3906,1.8847,0.3469,1.0,2.9,1.8,40.19,31.9845,0.0,95.0,37.2,12.5,3,0.5591,2
2023-01-21,325.825,304.8793,3.5562,3.6389,7.5668,8.3501,3.4052,0.5241,0.2184,0.2209,1.5,0.459,42.9143,28.7075,9.577,153.0636,31.8922,2.6167,2.5534,0.0,7.5875,2.0125,48.4144,19.2608,0.0,77.9095,54.1,29.575,15.7674,0.0,61.5485,31.5059,22.0,1.4094,19.0,24.0,22.0,30.9503,7.0899,19.5312,43.9688,30.0312,2.4899,0.5697,1.4,3.4,2.5,57.0309,13.5863,17.0,79.0,59.0,12.4167,1,0.47,2
2023-01-22,518.4842,553.952,6.194,6.5881,7.6023,8.389,5.7055,0.8527,0.1901,0.5,1.5,0.8545,53.2357,33.6968,13.5319,167.3817,40.7196,5.6006,3.9462,0.0,12.55,6.375,17.3503,13.0809,0.0,50.0,14.5455,5.7683,7.3104,0.0,34.8,2.737,23.106,2.1234,18.0,26.0,23.0,38.4884,10.6594,18.4062,56.375,40.9375,3.0603,0.8432,1.5,4.2,3.3,25.3411,16.2244,3.0,69.6,23.9,12.5833,0,0.8147,3
2023-01-23,459.665,456.5211,5.1424,5.3648,7.6001,8.3748,4.7746,0.6783,0.2912,0.1124,1.5,0.7161,69.3634,46.738,8.118,181.8295,69.1004,4.5319,3.8218,0.0,11.375,5.8625,34.8281,23.6723,0.0,88.7615,28.3895,19.4437,22.2294,0.0,80.0628,9.1213,22.8133,1.9226,19.0,25.0,23.0,35.6694,10.4029,19.5,53.4375,39.6562,3.252,0.6302,1.8,4.0,3.5,42.046,23.0541,8.0,90.2,33.1,12.5,5,0.6766,1
2023-01-24,504.035,521.9534,5.9,6.2552,7.6041,8.3573,5.4108,0.7872,0.2194,0.3006,1.5,0.8374,55.5596,27.3324,16.4095,127.6906,53.1792,5.603,4.2903,0.0,13.275,4.5,23.0741,18.0815,0.0,69.943,16.2562,10.0369,12.6614,0.0,50.359,2.9423,23.8054,2.0849,19.0,27.0,24.0,38.6544,11.2326,19.3438,58.1875,36.25,3.4322,0.6503,2.3,4.2,3.5,28.6839,20.6713,0.0,73.8,20.0,12.4167,1,0.7759,3
2023-01-25,509.4158,545.2122,6.2012,6.5506,7.5848,8.3118,5.6003,0.7085,0.2876,0.0737,0.9907,0.8441,51.3923,34.1891,4.2853,121.6151,50.1968,6.2045,4.9973,0.0,13.05,6.175,29.1501,28.7619,0.9317,92.6346,15.5899,18.6073,27.2,0.0093,86.7059,2.6503,24.0,2.2079,20.0,27.0,24.0,40.0377,13.1164,20.4375,57.625,40.4375,1.1586,0.4168,0.1,1.9,1.2,34.1055,31.645,1.0,93.6,17.0,12.0833,0,0.8176,1
2023-01-26,295.8425,289.1936,3.3745,3.4875,7.5473,8.246,3.2597,0.5178,0.2246,0.1449,1.1951,0.4588,44.214,17.8802,12.8991,86.2253,43.1727,2.3756,1.8463,0.0,6.45,2.0875,48.3607,22.0828,0.0,85.5145,54.1176,30.4792,20.1917,0.0,73.5425,32.6017,21.7755,0.9708,19.0,23.0,22.0,30.3839,5.4482,19.375,41.125,30.2188,1.2558,0.3753,0.8,2.0,1.1,55.1054,19.3345,14.8,86.0,60.0,12.25,2,0.4471,2
2023-01-27,386.2308,399.4718,4.4816,4.6198,7.6094,8.2961,4.1944,0.5205,0.2219,0.0821,0.8955,0.5871,66.6748,42.0247,4.5619,168.9789,58.3624,4.136,3.344,0.0,10.2875,4.825,47.9483,22.1882,10.4461,91.791,41.2852,29.9813,24.3291,1.1491,86.3754,19.056,23.0208,1.9521,19.0,26.0,23.0,34.6916,9.2424,19.3438,50.7188,37.0625,2.2444,0.4198,1.4,2.9,2.1,52.3333,23.0558,11.0,94.1,46.2,12.0,3,0.589,2
