date_time,air_temp,dni,ghi,dhi,gti,cloud_opacity
2023-06-13 13:00:00,28.0,577.0,645.0,217.25,773.75,12.2
2023-06-13 14:00:00,28.0,590.75,562.75,181.5,691.25,10.775
2023-06-13 15:00:00,28.0,760.25,465.5,79.75,617.25,1.375
2023-06-13 16:00:00,27.5,217.5,192.0,109.0,235.5,35.325
2023-06-13 17:00:00,26.0,0.0,18.5,18.5,17.75,67.75
2023-06-13 18:00:00,24.0,0.0,0.0,0.0,0.0,41.475
2023-06-13 19:00:00,23.0,0.0,0.0,0.0,0.0,52.075
2023-06-13 20:00:00,22.0,0.0,0.0,0.0,0.0,52.7
2023-06-13 21:00:00,22.0,0.0,0.0,0.0,0.0,58.375
2023-06-13 22:00:00,22.0,0.0,0.0,0.0,0.0,42.199999999999996
2023-06-13 23:00:00,21.25,0.0,0.0,0.0,0.0,46.05
2023-06-14 00:00:00,20.0,0.0,0.0,0.0,0.0,36.925
2023-06-14 01:00:00,19.5,0.0,0.0,0.0,0.0,27.275
2023-06-14 02:00:00,18.75,0.0,0.0,0.0,0.0,7.800000000000001
2023-06-14 03:00:00,18.0,0.0,0.0,0.0,0.0,0.0
2023-06-14 04:00:00,18.0,0.0,0.0,0.0,0.0,0.0
2023-06-14 05:00:00,17.75,0.0,0.0,0.0,0.0,0.0
2023-06-14 06:00:00,18.0,0.75,0.25,0.25,0.5,0.0
2023-06-14 07:00:00,19.75,387.75,93.25,30.75,168.0,0.0
2023-06-14 08:00:00,21.5,699.0,297.25,55.5,432.75,0.0
2023-06-14 09:00:00,22.75,818.25,493.25,64.25,653.75,0.0
2023-06-14 10:00:00,23.75,874.5,647.25,69.5,821.5,0.0
2023-06-14 11:00:00,25.25,900.25,744.0,73.0,925.25,0.0
2023-06-14 12:00:00,27.0,906.75,774.5,74.0,958.25,0.0
2023-06-14 13:00:00,28.0,805.5,712.0,114.75,879.5,3.275
2023-06-14 14:00:00,28.0,776.5,611.5,108.75,772.0,3.0
2023-06-14 15:00:00,28.0,716.75,458.0,91.0,602.5,3.15
2023-06-14 16:00:00,27.5,297.75,221.0,123.75,282.5,19.3
2023-06-14 17:00:00,26.0,11.25,33.75,32.75,34.5,43.05
2023-06-14 18:00:00,23.75,0.0,0.0,0.0,0.0,34.125
2023-06-14 19:00:00,22.75,0.0,0.0,0.0,0.0,37.6
2023-06-14 20:00:00,22.0,0.0,0.0,0.0,0.0,42.925
2023-06-14 21:00:00,22.0,0.0,0.0,0.0,0.0,41.75
2023-06-14 22:00:00,21.5,0.0,0.0,0.0,0.0,28.525
2023-06-14 23:00:00,20.25,0.0,0.0,0.0,0.0,19.8
2023-06-15 00:00:00,19.25,0.0,0.0,0.0,0.0,1.125
2023-06-15 01:00:00,18.75,0.0,0.0,0.0,0.0,0.0
2023-06-15 02:00:00,18.0,0.0,0.0,0.0,0.0,0.0
2023-06-15 03:00:00,17.5,0.0,0.0,0.0,0.0,2.275
2023-06-15 04:00:00,17.0,0.0,0.0,0.0,0.0,11.25
2023-06-15 05:00:00,16.0,0.0,0.0,0.0,0.0,5.8
2023-06-15 06:00:00,16.75,0.0,0.25,0.25,0.25,16.55
2023-06-15 07:00:00,18.5,294.75,86.75,34.5,144.5,12.350000000000001
2023-06-15 08:00:00,20.5,696.5,295.5,55.5,430.75,0.0
2023-06-15 09:00:00,22.5,810.25,491.25,67.5,651.0,0.0
2023-06-15 10:00:00,23.75,852.25,641.5,79.25,813.25,0.75
2023-06-15 11:00:00,25.5,789.5,713.0,124.5,879.0,4.2
2023-06-15 12:00:00,26.75,826.25,752.0,114.25,924.0,2.9
2023-06-15 13:00:00,27.0,635.0,663.75,192.75,803.5,10.0
2023-06-15 14:00:00,27.0,444.75,524.5,232.5,623.75,17.5
2023-06-15 15:00:00,27.0,6.5,246.75,243.0,240.0,48.025
